id,kind,category,material,default_zone,rarity_tag,profile
Armor_Adamantite_Chest,item,armor_item,adamantite,,,gear
Armor_Adamantite_Hands,item,armor_item,adamantite,,,gear
Armor_Adamantite_Head,item,armor_item,adamantite,,,gear
Armor_Adamantite_Legs,item,armor_item,adamantite,,,gear
Armor_Cloth_Cindercloth_Chest,item,armor_item,,,,gear
Armor_Cloth_Cindercloth_Hands,item,armor_item,,,,gear
Armor_Cloth_Cindercloth_Head,item,armor_item,,,,gear
Armor_Cloth_Cindercloth_Legs,item,armor_item,,,,gear
Armor_Cloth_Cotton_Chest,item,armor_item,,,,gear
Armor_Cloth_Cotton_Hands,item,armor_item,,,,gear
Armor_Cloth_Cotton_Head,item,armor_item,,,,gear
Armor_Cloth_Cotton_Legs,item,armor_item,,,,gear
Armor_Cloth_Linen_Chest,item,armor_item,,,,gear
Armor_Cloth_Linen_Hands,item,armor_item,,,,gear
Armor_Cloth_Linen_Head,item,armor_item,,,,gear
Armor_Cloth_Linen_Legs,item,armor_item,,,,gear
Armor_Cloth_Silk_Chest,item,armor_item,,,,gear
Armor_Cloth_Silk_Hands,item,armor_item,,,,gear
Armor_Cloth_Silk_Head,item,armor_item,,,,gear
Armor_Cloth_Silk_Legs,item,armor_item,,,,gear
Armor_Cloth_Wool_Chest,item,armor_item,,,,gear
Armor_Cloth_Wool_Hands,item,armor_item,,,,gear
Armor_Cloth_Wool_Head,item,armor_item,,,,gear
Armor_Cloth_Wool_Legs,item,armor_item,,,,gear
Armor_Cobalt_Chest,item,armor_item,cobalt,,,gear
Armor_Cobalt_Hands,item,armor_item,cobalt,,,gear
Armor_Cobalt_Head,item,armor_item,cobalt,,,gear
Armor_Cobalt_Legs,item,armor_item,cobalt,,,gear
Armor_Copper_Chest,item,armor_item,copper,,,gear
Armor_Copper_Hands,item,armor_item,copper,,,gear
Armor_Copper_Head,item,armor_item,copper,,,gear
Armor_Copper_Legs,item,armor_item,copper,,,gear
