canonical_id,canonical_kind,profile,zone,rarity_tag,minutes_per_unit,nyra_per_minute,bundle_qty,price_nyra,confidence,icon_path
BAR:adamantite,bar,ore_t4,3,very_rare,0.207,0.75,100,52.16,v0.1_model,Icons/ItemsGenerated/Ingredient_Bar_Adamantite.png
BAR:bronze,bar,t1_crafted,1,common,0.115,0.75,100,8.62,v0.1_model,Icons/ItemsGenerated/Ingredient_Bar_Bronze.png
BAR:cobalt,bar,ore_t3,3,rare,0.138,0.75,100,26.5,v0.1_model,Icons/ItemsGenerated/Ingredient_Bar_Cobalt.png
BAR:copper,bar,ore_t1,1,common,0.0575,0.75,100,4.31,v0.1_model,Icons/ItemsGenerated/Ingredient_Bar_Copper.png
BAR:gold,bar,ore_t3,3,rare,0.138,0.75,100,26.5,v0.1_model,Icons/ItemsGenerated/Ingredient_Bar_Gold.png
BAR:iron,bar,ore_t1,1,common,0.0575,0.75,100,4.31,v0.1_model,Icons/ItemsGenerated/Ingredient_Bar_Iron.png
BAR:mithril,bar,endgame_mithril,4,very_rare,0.2875,0.75,100,99.62,v0.1_model,Icons/ItemsGenerated/Ingredient_Bar_Mithril.png
BAR:onyxium,bar,endgame_onyxium,4,mythic,0.4025,0.75,100,185.96,v0.1_model,Icons/ItemsGenerated/Ingredient_Bar_Onyxium.png
BAR:prisma,bar,endgame_prisma,4,mythic,0.575,0.75,100,265.65,v0.1_model,Icons/ItemsGenerated/Ingredient_Bar_Prisma.png
BAR:silver,bar,ore_t2,2,uncommon,0.092,0.75,100,10.78,v0.1_model,Icons/ItemsGenerated/Ingredient_Bar_Silver.png
BAR:thorium,bar,ore_t2,2,uncommon,0.092,0.75,100,10.78,v0.1_model,Icons/ItemsGenerated/Ingredient_Bar_Thorium.png
BASIC:boom_powder,basic,basic_gather,1,common,0.01,0.75,1,0.01,v0.1_model,Icons/ItemsGenerated/Ingredient_Powder_Boom.png
BASIC:charcoal,basic,basic_gather,1,common,0.01,0.75,1,0.1,v0.1_fixed,Icons/ItemsGenerated/Rubble_Charcoal_Small.png
BASIC:feather_dark,basic,basic_gather,1,common,0.01,0.75,1,0.01,v0.1_model,Icons/ItemsGenerated/Ingredient_Feathers_Dark.png
BASIC:plant_fiber,basic,basic_gather,1,common,0.01,0.75,1,0.01,v0.1_model,Icons/ItemsGenerated/Ingredient_Fibre.png
