canonical_id,canonical_kind,profile,zone,rarity_tag,minutes_per_unit,bundle_qty,price_nyra,calc,recipe_key,missing_inputs,override_note
BAR:adamantite,bar,ore_t4,3,very_rare,0.47619047619047616,100,120.0,model_v0.3,,,
BAR:bronze,bar,t1_crafted,1,common,0.11499999999999999,100,8.62,model_v0.3,,,
BAR:cobalt,bar,ore_t3,3,rare,0.13799999999999998,100,26.5,model_v0.3,,,
BAR:copper,bar,ore_t1,1,common,0.16361886429258904,100,12.27,model_v0.3,,,
BAR:gold,bar,ore_t3,3,rare,0.13799999999999998,100,26.5,model_v0.3,,,
BAR:iron,bar,ore_t1,1,common,0.16361886429258904,100,12.27,model_v0.3,,,
BAR:mithril,bar,endgame_mithril,4,very_rare,0.2875,100,99.62,model_v0.3,,,
BAR:onyxium,bar,endgame_onyxium,4,mythic,0.40249999999999997,100,120.0,bom_v0.3,Ingredient_Bar_Onyxium,,
BAR:prisma,bar,endgame_prisma,4,mythic,0.575,100,180.0,bom_v0.3,Ingredient_Bar_Prisma,,
BAR:silver,bar,ore_t2,2,uncommon,17.5,100,2050.78,model_v0.3,,,
BAR:thorium,bar,ore_t2,2,uncommon,17.5,100,2050.78,model_v0.3,,,
BASIC:plant_fiber,basic,basic_gather,1,common,0.01,1,0.01,model_v0.3,,,
BASIC:stick,basic,basic_gather,1,common,0.01,1,0.01,model_v0.3,,,
BASIC:tree_sap,basic,basic_gather,1,common,0.01,1,0.01,model_v0.3,,,
CLOTH:cinder_cloth,cloth,cloth_processing,2,uncommon,0.015,1,0.02,model_v0.3,,,
CLOTH:linen_scraps,cloth,cloth_processing,1,common,0.015,1,0.01,model_v0.3,,,
CLOTH:scraps,cloth,cloth_processing,1,,0.015,1,0.01,model_v0.3,,,
CLOTH:shadow_weave,cloth,cloth_processing,3,rare,0.015,1,0.03,model_v0.3,,,
CROP:apple,crop,crop,1,common,0.012,1000,3.15,model_v0.3,,,
CROP:carrot,crop,crop,1,common,0.012,1000,3.15,model_v0.3,,,
CROP:potato,crop,crop,1,common,0.012,1000,3.15,model_v0.3,,,
CROP:wheat,crop,crop,1,common,0.012,1000,3.15,model_v0.3,,,
ESSENCE:fire,essence,misc,1,common,0.0075,1000,3.38,model_v0.3,,,
ESSENCE:generic,essence,misc,1,common,0.0075,1000,3.38,model_v0.3,,,
ESSENCE:ice,essence,misc,1,common,0.0075,1000,3.38,model_v0.3,,,
ESSENCE:life,essence,misc,1,common,0.0075,1000,3.38,model_v0.3,,,
ESSENCE:void,essence,misc,1,common,0.0075,1000,3.38,model_v0.3,,,
ESSENCE:water,essence,misc,1,common,0.0075,1000,3.38,model_v0.3,,,
HIDE:generic,hide,hide_drop,1,,0.06,1,0.04,model_v0.3,,,
HIDE:heavy,hide,hide_drop_t3,2,rare,0.07,1,0.11,model_v0.3,,,
HIDE:light,hide,hide_drop_t1,1,uncommon,0.03,1,0.03,model_v0.3,,,
HIDE:medium,hide,hide_drop_t2,2,uncommon,0.05,1,0.06,model_v0.3,,,
HIDE:prism,hide,hide_drop_prism,4,very_rare,0.15,1,0.52,model_v0.3,,,
HIDE:storm,hide,hide_drop_storm,3,rare,0.1,1,0.19,model_v0.3,,,
LEATHER:generic,leather,leather_processing,1,,0.02,1,0.01,model_v0.3,,,
